Date,Payee,Address,Amount,Account,Month,Cleaned Vendor,Category,Type
04/22/2024,VISA DDA PUR AP 449215     PAYPAL  UBER                402 935 7733  * CA,,-13.98,TD Bank 4317,2024-04,Uber,Transport,Expense
04/22/2024,VISA DDA PUR AP 405523     AMERICAN FOOD N VENDI       OSWEGO        * NY,,-3.65,TD Bank 4317,2024-04,Vending Machine,Groceries,Expense
04/22/2024,VISA DDA PUR AP 413746     BYRNE DAIRY 10              OSWEGO        * NY,,-15.73,TD Bank 4317,2024-04,Byrne Dairy,Food & Dining,Expense
04/23/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-20,TD Bank 4317,2024-04,Apple Cash (Sent),Transfers,Expense
04/25/2024,TD ZELLE RECEIVED 411600L079WR Zelle BIRHANU GEBIREMES,,300,TD Bank 4317,2024-04,Zelle (Received),Income,Income
04/25/2024,TD ZELLE RECEIVED 411600N06KRY Zelle AMSALE BELETE,,100,TD Bank 4317,2024-04,Zelle (Received),Income,Income
04/26/2024,VISA DDA PUR AP 479338     CASH APP GIANNI LUBITZ      800 x1940   * CA,,-20,TD Bank 4317,2024-04,Cash App,Shopping,Expense
04/26/2024,VISA DDA PUR AP 413746     BYRNE DAIRY 10              OSWEGO        * NY,,-16.68,TD Bank 4317,2024-04,Byrne Dairy,Food & Dining,Expense
04/26/2024,VISA DDA PUR AP 424818     VENMO   LIAM JUDD           VISA DIRECT   * NY,,-200,TD Bank 4317,2024-04,Venmo,Transfers,Expense
04/29/2024,NONTD ATM FEE,,-3,TD Bank 4317,2024-04,ATM Fee,Bank Fees,Expense
04/29/2024,BAL IN Q FEE,,-3,TD Bank 4317,2024-04,Balance Inquiry,Other,Expense
04/29/2024,BANK OF AMERICA ONLINE PMT,,-37,TD Bank 4317,2024-04,Bank of America (Payment),Debt Payments,Expense
04/29/2024,TD ZELLE SENT 411900H02KL4 Zelle RICHARD RIVERA,,-6,TD Bank 4317,2024-04,Zelle (Sent),Transfers,Expense
04/29/2024,TD ZELLE SENT 411900P0IAKZ Zelle Rich D,,-30,TD Bank 4317,2024-04,Zelle (Sent),Transfers,Expense
04/29/2024,VISA DDA PUR AP 479338     CASH APP ANNESCIA HAUGHT    800 x1940   * CA,,-5,TD Bank 4317,2024-04,Cash App,Shopping,Expense
04/29/2024,VISA DDA PUR AP 420785     CAM S PIZZA OSWEGO          OSWEGO        * NY,,-3.29,TD Bank 4317,2024-04,Cam's Pizza,Food & Dining,Expense
04/29/2024,DDA WITHDRAW AP RT48002    PAI ISO                     OSWEGO        * NY,,-23.5,TD Bank 4317,2024-04,ATM Withdrawal,Cash & ATM,Expense
04/29/2024,DDA BAL INQ RT48002    PAI ISO                     OSWEGO        * NY,,0,TD Bank 4317,2024-04,Balance Inquiry,Other,Expense
04/29/2024,VISA DDA PUR AP 449215     PAYPAL  UBER                402 935 7733  * CA,,-14.95,TD Bank 4317,2024-04,Uber,Transport,Expense
04/29/2024,VISA DDA PUR AP 413746     BYRNE DAIRY 10              OSWEGO        * NY,,-2.99,TD Bank 4317,2024-04,Byrne Dairy,Food & Dining,Expense
04/29/2024,VISA DDA PUR AP 449215     PAYPAL  UBER                402 935 7733  * CA,,-11.11,TD Bank 4317,2024-04,Uber,Transport,Expense
04/29/2024,TD ZELLE SENT REFUND 412000I014BM Zelle,,30,TD Bank 4317,2024-04,Zelle (Sent),Transfers,Income
04/29/2024,VISA DDA PUR AP 420785     CAM S PIZZA OSWEGO          OSWEGO        * NY,,-4.62,TD Bank 4317,2024-04,Cam's Pizza,Food & Dining,Expense
04/30/2024,VISA DDA PUR AP 479338     CASH APP GIANNI LUBITZ      800 x1940   * CA,,-10,TD Bank 4317,2024-04,Cash App,Shopping,Expense
05/02/2024,VISA DDA PUR AP 469216     SUNY OSWEGO DINING          OSWEGO        * NY,,-4.83,TD Bank 4317,2024-05,SUNY Oswego Dining,Food & Dining,Expense
05/02/2024,VISA DDA PUR AP 413746     BYRNE DAIRY 10              OSWEGO        * NY,,-5.4,TD Bank 4317,2024-05,Byrne Dairy,Food & Dining,Expense
05/03/2024,VISA DDA PUR AP 424818     VENMO   AUSTIN TOMPKIN      VISA DIRECT   * NY,,-15,TD Bank 4317,2024-05,Venmo,Transfers,Expense
05/03/2024,TD ZELLE RECEIVED 412400A0EPWT Zelle EDEN ABEBE,,100,TD Bank 4317,2024-05,Zelle (Received),Income,Income
